"lotno","partname","mainlot","inspection_no","first_input_qty","input_date","input_process_code","last_output_qty","completed_date","product_group","product","last_nc_no","nc_rank","nc_issue_date","nc_state","nc_defect_rate","nc_defect_name","total_nc","created_at","updated_at","semi_fg_lotno"
LOTMT1789,"4DSACE803477","","",9576,2025-10-20 00:00:00.000,"1",6000,2025-11-14 11:00:00.000,,,NCR20251029-00369,B,2025-10-29,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1796,"4DSACE803227","","",9576,2025-10-22 00:00:00.000,"1",6000,2025-11-05 07:44:00.000,,,NCR20251023-00418,B,2025-10-23,undefined,"10.023866",Polymer skip cycle,2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1812,"6DSACE803477","","",7980,2025-10-20 00:00:00.000,"1",2500,2025-11-13 15:25:00.000,,,NCR20251029-00335,B,2025-10-29,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1847,"4DSACE803337","","",9576,2025-10-21 00:00:00.000,"1",6000,2025-11-05 11:33:00.000,,,NCR20251103-00103,B,2025-11-03,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1880,"4DSACE803477","","",9576,2025-10-22 00:00:00.000,"1",6000,2025-11-22 03:30:00.000,,,NCR20251118-00441,B,2025-11-18,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1881,"4DSACE803477","","",9576,2025-10-22 00:00:00.000,"1",6000,2025-11-17 14:14:00.000,,,NCR20251106-00248,B,2025-11-06,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1886,"4DSACE803477","","",9576,2025-10-21 00:00:00.000,"1",6000,2025-11-12 18:44:00.000,,,NCR20251030-00416,B,2025-10-30,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1895,"4DSACE803477","","",9576,2025-10-22 00:00:00.000,"1",3000,2025-11-06 10:11:00.000,,,NCR20251103-00158,B,2025-11-03,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1896,"4DSACE803477","","",9576,2025-10-22 00:00:00.000,"1",6000,2025-11-05 13:00:00.000,,,NCR20251103-00124,B,2025-11-03,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1908,"4DSACE803336","","",9576,2025-10-23 00:00:00.000,"1",3000,2025-11-19 11:09:00.000,,,NCR20251106-00426,B,2025-11-06,undefined,"15.822728",Machine abnormal ,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1916,"6DSACE803477","","",7980,2025-10-21 00:00:00.000,"1",5000,2025-11-06 10:17:00.000,,,NCR20251029-00340,B,2025-10-29,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1953,"4DSACE803477","","",9576,2025-10-20 00:00:00.000,"1",6000,2025-11-12 16:47:00.000,,,NCR20251031-00170,B,2025-10-31,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1985,"4DSACE803337","","",9576,2025-10-22 00:00:00.000,"1",6000,2025-11-08 09:50:00.000,,,NCR20251105-00467,B,2025-11-05,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1991,"4DSACE803336","","",9576,2025-10-23 00:00:00.000,"1",6000,2025-11-06 10:21:00.000,,,NCR20251103-00332,B,2025-11-03,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
